Wysokość (h [m]),Siła ciążenia (Fg [N]),Temperatura (T [K]),Ciśnienie (p [Pa]),Gęstość powietrza (ρ [kg/m^3])
3470,470.98800000000006,278.505,66201.71757941575,0.8280922297242461
3480,470.79200000000003,278.42,66112.00100232403,0.8272224681277054
3490,470.596,278.335,66022.35132390687,0.8263530126240155
3500,470.40000000000003,278.25,65932.76855180996,0.825483863589417
3510,470.20400000000006,278.165,65843.25269364516,0.8246150214001875
3520,470.00800000000004,278.08,65753.80375699044,0.8237464864326397
3530,469.812,277.995,65664.4217493899,0.822878259063122
3540,469.61600000000004,277.91,65575.10667835371,0.8220103396680178
3550,469.42,277.825,65485.85855135797,0.8211427286237448
3560,469.22400000000005,277.74,65396.677375844796,0.8202754263067541
3570,469.028,277.655,65307.56315922219,0.8194084330935305
3580,468.83200000000005,277.57,65218.51590886404,0.8185417493605912
3590,468.636,277.485,65129.53563211006,0.8176753754844864
3600,468.44,277.4,65040.62233626572,0.8168093118417972
3610,468.244,277.315,64951.776028602224,0.8159435588091364
3620,468.048,277.23,64862.99671635648,0.815078116763147
3630,467.85200000000003,277.145,64774.28440673101,0.8142129860805031
3640,467.656,277.06,64685.63910689396,0.8133481671379071
3650,467.46000000000004,276.975,64597.06082397901,0.8124836603120918
3660,467.264,276.89,64508.54956508534,0.8116194659798182
3670,467.068,276.805,64420.105337277615,0.8107555845178748
3680,466.872,276.72,64331.728147585876,0.8098920163030782
3690,466.6760000000001,276.635,64243.41800300557,0.8090287617122721
3700,466.4800000000001,276.55,64155.17491049742,0.808165821122326
3710,466.284,276.465,64066.99887698747,0.807303194910136
3720,466.0880000000001,276.38,63978.889909367,0.8064408834526237
3730,465.89200000000005,276.295,63890.8480144924,0.8055788871267342
3740,465.69599999999997,276.21,63802.87319918529,0.8047172063094391
3750,465.50000000000006,276.125,63714.96547023236,0.803855841377732
3760,465.3040000000001,276.04,63627.12483438532,0.8029947927086307
3770,465.10800000000006,275.955,63539.35129836092,0.8021340606791755
3780,464.91200000000003,275.87,63451.644868840835,0.8012736456664287
3790,464.71600000000007,275.78499999999997,63364.00555247167,0.8004135480474742
3800,464.52000000000004,275.7,63276.433355864916,0.7995537681994175
3810,464.324,275.615,63188.92828559685,0.7986943064993839
3820,464.12800000000004,275.53,63101.49034820853,0.7978351633245195
3830,463.9320000000001,275.445,63014.11955020577,0.796976339051989
3840,463.73600000000005,275.36,62926.81589805906,0.796117834058977
3850,463.54,275.275,62839.5793982035,0.7952596487226855
3860,463.34400000000005,275.19,62752.410057038825,0.7944017834203351
3870,463.148,275.105,62665.30788092928,0.7935442385291627
3880,462.95200000000006,275.02,62578.27287620365,0.7926870144264234
3890,462.75600000000003,274.935,62491.305049155126,0.7918301114893866
3900,462.56000000000006,274.85,62404.40440604138,0.7909735300953392
3910,462.36400000000003,274.765,62317.57095308437,0.7901172706215815
3920,462.168,274.68,62230.80469647042,0.7892613334454293
3930,461.97200000000004,274.595,62144.105642350136,0.788405718944212
3940,461.776,274.51,62057.47379683831,0.7875504274952726
3950,461.58000000000004,274.425,61970.909166013946,0.7866954594759661
3960,461.384,274.34,61884.41175592019,0.7858408152636613
3970,461.18800000000005,274.255,61797.98157256425,0.7849864952357368
3980,460.992,274.17,61711.618621917405,0.7841324997695841
3990,460.796,274.085,61625.32290991491,0.783278829242604
4000,460.6,274.0,61539.09444245599,0.7824254840322078
4010,460.40400000000005,273.915,61452.93322540376,0.7815724645158157
4020,460.208,273.83,61366.83926458523,0.7807197710708584
4030,460.012,273.745,61280.81256579118,0.7798674040747726
4040,459.81600000000003,273.65999999999997,61194.853134776204,0.7790153639050046
4050,459.62,273.575,61108.960977258575,0.7781636509390063
4060,459.424,273.49,61023.13609892028,0.7773122655542374
4070,459.228,273.405,60937.37850540692,0.7764612081281634
4080,459.03200000000004,273.32,60851.68820232771,0.7756104790382548
4090,458.836,273.235,60766.065195255345,0.7747600786619867
4100,458.64,273.15,60680.509489726064,0.7739100073768395
4110,458.444,273.065,60595.021091239556,0.7730602655602962
4120,458.2480000000001,272.98,60509.600005258886,0.7722108535898435
4130,458.05199999999996,272.895,60424.24623721049,0.7713617718429711
4140,457.856,272.81,60338.95979248412,0.7705130206971693
4150,457.6600000000001,272.725,60253.7406764328,0.7696646005299312
4160,457.46400000000006,272.64,60168.588894372704,0.7688165117187493
4170,457.268,272.555,60083.50445158329,0.7679687546411178
4180,457.07200000000006,272.47,59998.48735330708,0.7671213296745292
4190,456.87600000000003,272.385,59913.53760474965,0.7662742371964758
4200,456.68000000000006,272.3,59828.655211079684,0.765427477584448
4210,456.48400000000004,272.21500000000003,59743.840177428785,0.7645810512159339
4220,456.28800000000007,272.13,59659.09250889156,0.7637349584684194
4230,456.09200000000004,272.045,59574.41221052547,0.7628891997193867
4240,455.8960000000001,271.96,59489.79928735084,0.762043775346314
4250,455.70000000000005,271.875,59405.25374435081,0.761198685726675
4260,455.5040000000001,271.79,59320.775586471274,0.7603539312379384
4270,455.30800000000005,271.705,59236.36481862082,0.759509512257567
4280,455.112,271.62,59152.021445670725,0.7586654291630172
4290,454.91600000000005,271.535,59067.74547245491,0.7578216823317392
4300,454.7200000000001,271.45,58983.536903769804,0.7569782721411745
4310,454.524,271.365,58899.39574437443,0.7561351989687575
4320,454.32800000000003,271.28,58815.321998990265,0.7552924631919131
4330,454.13200000000006,271.195,58731.31567230123,0.7544500651880575
4340,453.93600000000004,271.11,58647.37676895363,0.7536080053345964
4350,453.74,271.025,58563.50529355613,0.7527662840089255
4360,453.54400000000004,270.94,58479.701250679675,0.7519249015884285
4370,453.348,270.855,58395.964644857486,0.7510838584504785
4380,453.15200000000004,270.77,58312.29548058496,0.7502431549724352
4390,452.956,270.685,58228.69376231968,0.7494027915316458
4400,452.76000000000005,270.6,58145.15949448135,0.7485627685054436
4410,452.564,270.515,58061.69268145172,0.7477230862711484
4420,452.368,270.43,57978.29332757458,0.7468837452060639
4430,452.172,270.345,57894.961437155675,0.7460447456874795
4440,451.97600000000006,270.26,57811.697014462705,0.7452060880926679
4450,451.78,270.175,57728.50006372525,0.7443677727988854
4460,451.584,270.09,57645.37058913473,0.743529800183371
4470,451.38800000000003,270.005,57562.30859484435,0.7426921706233456
4480,451.192,269.92,57479.314084969046,0.7418548844960112
4490,450.996,269.835,57396.387063585484,0.7410179421785517
4500,450.8,269.75,57313.527534731984,0.7401813440481299
4510,450.604,269.665,57230.73550240844,0.7393450904818889
4520,450.408,269.58,57148.010970576346,0.738509181856951
4530,450.212,269.495,57065.353943158705,0.737673618550416
4540,450.0160000000001,269.40999999999997,56982.76442403995,0.736838400939362
4550,449.82,269.325,56900.242417066016,0.7360035294008439
4560,449.6240000000001,269.24,56817.787926044126,0.7351690043118929
4570,449.42800000000005,269.155,56735.4009547429,0.7343348260495165
4580,449.2320000000001,269.07,56653.08150689223,0.7335009949906968
4590,449.03600000000006,268.985,56570.82958618322,0.7326675115123903
4600,448.84000000000003,268.9,56488.64519626819,0.7318343759915281
